date,count.0
2022-03-06,2676846.0
2022-03-07,2677516.0
2022-03-08,2678516.0
2022-03-09,2678574.0
2022-03-10,2678590.0
2022-03-11,2683054.0
2022-03-12,2683083.0
2022-03-13,2684788.0
2022-03-14,2685487.0
2022-03-15,2686452.0
2022-03-16,2686487.0
2022-03-17,2686491.0
2022-03-18,2686491.0
2022-03-19,2694432.0
2022-03-20,2696836.0
2022-03-21,2697386.0
2022-03-22,2697717.0
2022-03-23,2697758.0
2022-03-24,2697760.0
2022-03-25,2700680.0
2022-03-26,2701564.0
2022-03-27,2702686.0
2022-03-28,2702973.0
2022-03-29,2703258.0
2022-03-30,2703296.0
2022-03-31,2703299.0
2022-04-01,2706275.0
2022-04-02,2706862.0
2022-04-03,2707029.0
2022-04-04,2708138.0
2022-04-05,2709033.0
2022-04-06,2709457.0
2022-04-07,2709466.0
2022-04-08,2709466.0
2022-04-09,2709466.0
2022-04-10,2715282.0
2022-04-11,2715442.0
2022-04-12,2715452.0
2022-04-13,2717194.0
2022-04-14,2717208.0
2022-04-15,2717208.0
2022-04-16,2717208.0
2022-04-17,2721413.0
2022-04-18,2721427.0
2022-04-19,2724670.0
2022-04-20,2725352.0
2022-04-21,2725359.0
2022-04-22,2725359.0
2022-04-23,2731359.0
2022-04-24,2731710.0
2022-04-25,2731719.0
2022-04-26,2731719.0
2022-04-27,2736607.0
2022-04-28,2736632.0
2022-04-29,2736632.0
2022-04-30,2744096.0
2022-05-01,2746871.0
2022-05-02,2747889.0
2022-05-03,2750050.0
2022-05-04,2751196.0
2022-05-05,2751220.0
2022-05-06,2751220.0
2022-05-07,2760495.0
2022-05-08,2761130.0
2022-05-09,2764752.0
2022-05-10,2767368.0
2022-05-11,2768445.0
2022-05-12,2768470.0
2022-05-13,2768470.0
2022-05-14,2768470.0
2022-05-15,2780069.0
2022-05-16,2785920.0
2022-05-17,2789564.0
2022-05-18,2791266.0
2022-05-19,2791413.0
2022-05-20,2791413.0
2022-05-21,2805577.0
2022-05-22,2806452.0
2022-05-23,2806512.0
2022-05-24,2806512.0
2022-05-25,2806512.0
2022-05-26,2818883.0
2022-05-27,2818883.0
2022-05-28,2835515.0
